Actual,LSTM,XGBoost,Hybrid
47.94,47.9592,48.425716,48.406193493861636
47.94,47.458897,47.973064,47.95154730446173
47.94,47.303505,47.973064,47.945044404993936
49.0,47.351147,49.506264,49.41607545361166
48.910000000000004,47.371082,47.973064,47.947872411967595
48.71,47.369965,47.92909,47.90569012737912
47.44,47.299862,47.025562,47.0370412967889
46.49,47.09671,47.2221,47.21685196639374
46.49,46.728806,46.749474,46.74860864703655
46.49,46.281532,46.749474,46.729890960462406
46.57,45.85933,46.941048,46.89577944234971
46.88,45.599464,47.332947,47.26040325010797
46.71,45.291122,46.72107,46.66122829331327
46.34,44.90115,46.44872,46.38395566947254
46.03,44.611893,46.53437,46.45391773467011
46.03,44.374367,45.860714,45.798512651757804
46.03,44.20615,45.860714,45.79147304557563
46.41,44.104324,46.537144,46.43533401947179
46.21,44.02956,46.620235,46.51181972897367
46.21,43.99334,45.864803,45.78648548043953
46.21,43.919018,45.864803,45.783375231505424
46.13,43.755672,45.79239,45.707155515658606
46.13,43.599514,45.864803,45.77000449754633
46.13,43.609264,45.864803,45.77041253513169
47.37,43.658955,46.899723,46.76410195964214
46.89,43.5673,46.813473,46.677625445836284
47.08,43.589176,47.188534,47.03790629326148
47.27,43.683342,47.188534,47.041846984886924
47.79,43.87057,48.164974,47.98526015638879
47.79,44.081924,47.973064,47.810226296420616
47.79,44.344543,47.973064,47.82121649185355
48.21,44.569168,49.090416,48.901208798546925
48.21,44.79521,47.973064,47.840076257242615
49.64,45.05288,49.50245,49.31624149862701
49.04,45.292145,49.4034,49.23135079857453
49.09,45.59245,48.223007,48.11292246102921
49.09,45.948193,47.973064,47.888326701711485
49.09,46.30944,47.973064,47.9034443665378
47.95,46.65415,46.983814,46.970018226932766
47.9,46.916225,47.973064,47.92883736282706
48.58,47.20328,49.158897,49.07705792719195
49.04,47.284126,49.090416,49.01482555514976
49.33,47.446926,48.60531,48.55683203925502
49.33,47.505196,47.973064,47.953484844435714
49.33,47.592667,47.973064,47.95714536940923
47.69,47.577747,46.963974,46.989659454176696
47.9,47.51896,48.425716,48.38777002218179
47.76,47.367954,47.939697,47.915770714272796
47.28,47.086716,47.76788,47.73937384627384
47.0,46.86094,46.891193,46.88992729204848
47.0,46.585785,46.796574,46.787752460178034
47.0,46.172768,46.792576,46.76663783194386
46.83,45.735806,46.724957,46.683562089178885
46.45,45.263134,46.397232,46.34977182482881
46.92,44.895344,47.71461,47.59662912482401
47.12,44.598427,47.188534,47.080141855045994
47.52,44.513786,47.699467,47.56615096048753
47.52,44.600212,47.973064,47.83191582481365
47.52,44.852432,47.973064,47.84247084401117
47.44,45.10395,47.973064,47.85299648961099
47.34,45.20075,47.93293,47.81859246545561
47.86,45.23474,48.20848,48.08403447987777
48.13,45.291824,48.532654,48.39703016103149
48.26,45.3395,48.32626,48.20126840964454
48.26,45.392014,47.973064,47.86505147796033
48.26,45.52922,47.973064,47.87079337775307
48.21,45.697033,47.973064,47.87781606218874
48.21,45.737415,47.973064,47.87950600189087
47.82,45.70057,47.791733,47.70422085859908
47.95,45.507042,48.32626,48.208279759702855
47.97,45.337204,47.973064,47.8627577831143
47.97,45.246956,47.973064,47.85898104086295
47.97,45.09961,47.973064,47.85281482029482
47.36,44.97819,47.661625,47.549327409514774
47.06,44.80786,46.89108,46.80389954777036
46.87,44.625515,46.724957,46.637098166078474
46.98,44.51189,46.957485,46.85514087976515
47.5,44.53809,47.881687,47.74176283890807
47.5,44.57924,47.973064,47.83103812894342
47.5,44.55356,47.973064,47.82996343840169
47.5,44.53922,47.973064,47.82936335495749
47.5,44.67976,47.973064,47.835244779339284
48.48,44.95674,49.446453,49.258565675027214
48.290000000000006,45.242256,47.92909,47.81664885514275
48.01,45.42029,47.843224,47.741827668567346
48.01,45.519993,47.973064,47.87040721072686
48.01,45.450184,47.973064,47.86748581486924
47.58,45.363995,47.821003,47.718181000754846
46.97,45.153893,47.703373,47.59668118401494
46.59,44.877666,46.498062,46.43025110820352
45.21,44.54752,45.0808,45.05848219265682
45.1,44.274326,44.308052,44.306640693546896
45.1,44.074387,45.032413,44.9923215549567
45.1,43.88696,45.032413,44.984478006176765
44.71,43.729782,44.661495,44.622504471666225
43.98,43.556908,44.001175,43.982583035808574
43.46,43.303665,43.97749,43.94929097728824
42.72,42.988895,42.993233,42.99305121737372
42.48,42.660717,42.406628,42.417260897394584
42.48,42.290955,42.897774,42.872379309634454
42.48,41.90768,42.82145,42.78320948512175
41.78999999999999,41.61307,41.950996,41.93685476766633
41.09,41.36332,40.91538,40.93412419397641
41.27,41.150475,41.214737,41.21204765789636
41.28,40.983757,41.370968,41.354763696327474
42.04,40.986828,41.987206,41.945341264174814
42.04,40.922688,41.739876,41.7056777419807
42.04,40.75134,41.739876,41.69850707208273
41.53,40.63557,41.23865,41.21341328892898
40.61,40.523964,40.65527,40.64977468472539
39.73,40.39102,40.05933,40.07321076751306
39.73,40.21138,39.684204,39.70626558910024
40.010000000000005,39.85031,39.788406,39.790996995675634
40.010000000000005,39.59703,40.002472,39.985504839820905
40.010000000000005,39.29278,39.998474,39.968942001755494
39.15,39.002354,39.10014,39.09604742877159
38.4,38.824486,38.173344,38.2005929383995
38.3,38.539898,38.284492,38.29518081053675
37.44,38.229343,37.560673,37.588655581708764
37.92,37.97066,37.79466,37.802024090510486
37.92,37.753807,37.804775,37.8026422997828
37.92,37.629215,37.800777,37.79359782561416
37.92,37.581436,37.818943,37.80900373256187
38.3,37.718094,38.162125,38.143542640465135
39.1,37.920574,39.282578,39.22557980435318
38.99,38.19668,38.756737,38.733299178637026
38.35,38.316936,38.1842,38.189755089611786
38.35,38.38394,38.41745,38.416047681160215
38.35,38.40635,38.41745,38.41698540133878
38.82,38.36647,38.91928,38.89614674344932
38.92,38.377216,38.94979,38.92582960190994
38.73,38.441353,38.752895,38.73985778810457
38.52,38.46173,38.542408,38.53903178179742
38.58,38.459385,38.587246,38.58189515720823
38.58,38.44984,38.578987,38.57358253924542
38.58,38.45933,38.578987,38.57397972137076
38.04,38.48357,38.131386,38.14612416550483
37.55,38.47548,37.397594,37.442702240698125
38.03,38.504906,37.81691,37.84570134350936
38.6,38.55915,38.392113,38.399103009628334
38.12,38.54211,38.211655,38.22548372095253
38.12,38.554363,38.07025,38.09051078637948
